solution,org,date,status,link,layer,from,to,compile,run,translate
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,jakarta,quarkus,12,7,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,jakarta,spring,28,12,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,quarkus,jakarta,5,2,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,quarkus,spring,17,9,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,spring,jakarta,34,15,5
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,spring,quarkus,3,1,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,jakarta,quarkus,22,10,4
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,jakarta,spring,7,3,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,quarkus,jakarta,40,18,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,quarkus,spring,1,0,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,spring,jakarta,26,11,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,spring,quarkus,9,5,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,jakarta,quarkus,31,14,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,jakarta,spring,14,6,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,quarkus,jakarta,2,1,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,quarkus,spring,18,8,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,spring,jakarta,45,19,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,spring,quarkus,11,4,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,jakarta,quarkus,6,3,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,jakarta,spring,29,13,5
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,quarkus,jakarta,0,0,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,quarkus,spring,21,10,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,spring,jakarta,16,7,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,spring,quarkus,39,20,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,jakarta,quarkus,4,2,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,jakarta,spring,27,11,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,quarkus,jakarta,33,16,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,quarkus,spring,8,3,1
